Time;pH1_001_PV;O2_flow_001.PV;DO1_001.PV;CO2_flow_001.PV;BioR_temp_001.PV;Air_flow_001.PV;BioR_stirring_001.SP;BioOUT_pump_001.SP;BioIN_pump_001.SP;Base_pump_001.SP
21/09/2024 18:59:49.597;;;;;37.1;;;;;
21/09/2024 19:00:07.595;;;;;36.9;;;;;
21/09/2024 19:00:25.788;;;;20.2;;;;;;
21/09/2024 19:03:15.006;;;93;;;;;;;
21/09/2024 19:06:17.088;;;;;36.9;;;;;
21/09/2024 19:13:20.254;;;;15.6;;;;;;
21/09/2024 19:15:49.227;;;93;;;;;;;
21/09/2024 19:31:29.663;;;;28.7;;;;;;
21/09/2024 19:33:39.774;;;94;;;;;;;
21/09/2024 19:39:56.206;;;;;37.2;;;;;
21/09/2024 19:47:55.623;7.39;;;;;180;;;;
21/09/2024 19:58:10.815;;;;20.0;;;;;;
21/09/2024 19:59:39.930;;;94;;;;;;;
21/09/2024 19:59:53.635;;;;;36.9;;;;;
21/09/2024 20:00:00.014;;;;;37.1;;;;;
21/09/2024 20:01:27.848;;;94;;;;;;;
21/09/2024 20:04:23.359;;;93;;;;;;;
21/09/2024 20:09:36.553;;;;20.1;;;;;;
21/09/2024 20:13:35.552;;;;29.7;;;;;;
21/09/2024 20:26:42.884;;;;;36.9;;;;;
21/09/2024 20:28:53.508;;;94;;;;;;;
21/09/2024 20:38:43.511;;;;15.7;;;;;;
21/09/2024 20:46:10.151;;;;;37.1;;;;;
21/09/2024 20:47:55.645;7.39;;;;;180;;;;
21/09/2024 20:55:33.747;;;;20.0;;;;;;
21/09/2024 20:55:50.846;;;94;;;;;;;
21/09/2024 20:59:55.951;;;;;37.0;;;;;
21/09/2024 21:00:01.952;;;94;;;;;;;
21/09/2024 21:00:06.683;;;;;37.1;;;;;
21/09/2024 21:05:22.375;;;;17.8;;;;;;
21/09/2024 21:06:43.789;;;;14.2;;;;;;
21/09/2024 21:20:28.010;;;;;36.9;;;;;
21/09/2024 21:24:37.519;;;94;;;;;;;
21/09/2024 21:24:54.109;;;;27.7;;;;;;
21/09/2024 21:37:27.248;;;;;37.1;;;;;
21/09/2024 21:38:51.140;7.39;;;;;;;;;
21/09/2024 21:47:55.663;7.39;;;20.0;;180;;;;
21/09/2024 21:52:26.563;;;94;;;;;;;
21/09/2024 21:59:06.095;;;94;;;;;;;
21/09/2024 21:59:50.521;;;;;37.0;;;;;
21/09/2024 22:00:21.583;;;;;37.1;;;;;
21/09/2024 22:00:59.985;;;94;;;;;;;
21/09/2024 22:02:50.097;;;;;37.2;;;;;
21/09/2024 22:04:07.631;;;;19.2;;;;;;
21/09/2024 22:15:05.530;;;94;;;;;;;
21/09/2024 22:19:25.946;;;;;36.8;;;;;
21/09/2024 22:37:44.562;;;;30.0;;;;;;
21/09/2024 22:39:06.384;;;;16.0;;;;;;
21/09/2024 22:47:55.745;7.39;;;;;180;;;;
21/09/2024 22:51:47.203;;;93;;;;;;;
21/09/2024 22:55:56.445;;;;20.0;;;;;;
21/09/2024 22:56:40.617;;;94;;;;;;;
21/09/2024 22:59:55.255;;;;;37.0;;;;;
21/09/2024 23:00:46.135;;;;;36.9;;;;;
21/09/2024 23:01:16.842;;;;19.8;;;;;;
21/09/2024 23:01:50.218;;;94;;;;;;;
21/09/2024 23:03:48.130;;;93;;;;;;;
21/09/2024 23:13:00.151;;;;;36.8;;;;;
21/09/2024 23:22:00.263;;;94;;;;;;;
21/09/2024 23:25:17.307;;;;14.5;;;;;;
21/09/2024 23:42:05.337;;;;29.9;;;;;;
21/09/2024 23:47:55.809;7.39;;;;;180;;;;
21/09/2024 23:51:42.973;;;;;37.2;;;;;
21/09/2024 23:58:45.555;;;;;37.0;;;;;
21/09/2024 23:58:55.572;;;94;;;;;;;
21/09/2024 23:59:17.577;;;;20.0;;;;;;
22/09/2024 00:00:29.053;;;;;36.9;;;;;
